Termo Sugerido (Mais Comum);Variações Detectadas (Duplicatas);Qtd Variações;Frequência Total
Área degradada;Áreas degradadas [Score: 93];1;7
Controle de processo;Controle do processo [Score: 95];1;6
Serviços de alimentação;Serviço de alimentação [Score: 98];1;7
Religião - filosofia;Religião e filosofia [Score: 95];1;5
Dependência;Independência [Score: 92];1;7
Ediacarano;Ediacariano [Score: 95];1;5
Sistema musculoesquelético - doenças;Sistema musculoesquelético - lesão [Score: 89];1;6
Tanatologia;Tanalogia [Score: 90];1;5
Criatividade em matemática;Criatividade em  matemática [Score: 98];1;5
Supermercados;Supermercado [Score: 96];1;5
Cooperação internacional - educação;Cooperação internacional - Japão [Score: 90];1;6
Reumatologia;Traumatologia [Score: 88];1;7
Direito penitenciário;Direito previdenciário [Score: 88];1;5
Doenças ocupacionais;Doença ocupacional [Score: 89];1;7
Emergências;Emergência [Score: 95];1;5
Roedores - Cerrados;Roedor - cerrados [Score: 94];1;7
Coordenação federativa;Coordenação adversativa [Score: 89];1;5
Parques científicos e tecnológicos;Parque cientifico e tecnológico [Score: 92];1;6
Matas secas;Mata seca [Score: 90];1;5
Princípio constitucional;Princípios constitucionais [Score: 92];1;5
Medicamentos - falsificação;Medicamentos - fabricação [Score: 88];1;6
Bovino - melhoramento genético;Quinoa - melhoramento genético [Score: 90];1;7
Processo de Enfermagem;Processos de enfermagem [Score: 98];1;5
Maturação in vitro;Maturação in vivo [Score: 91];1;5
Comunicação de massa e cultura;Comunicação de massa e literatura [Score: 89];1;7
Equipamentos biomédicos;Equipamentos médicos [Score: 93];1;5
Comunidades de aprendizagem;Comunidade de Aprendizagem [Score: 98];1;8
Erodibilidade;Eclodibilidade [Score: 89];1;6
Estequiometria;Estesiometria [Score: 89];1;5
Ecologia de restauração;Ecologia da restauração [Score: 96];1;6
Constitucionalismo democrático;Constitucionalismo geográfico [Score: 88];1;5
Dinâmica de campos térmicos;Dinâmica do campo térmico [Score: 92];1;5
Comunidade e escola;Comunidade escolar [Score: 92];1;7
Responsabilidade penal;Responsabilidade legal [Score: 91];1;5
Dentes - cuidado e higiene;Pele - cuidado e higiene [Score: 88];1;8
Sistema nervoso simpático;Sistema nervoso parassimpático [Score: 91];1;6
Consciência fonológica;Consciência morfológica [Score: 89];1;5
Direita e esquerda (Ciência política);Direita e esquerda (Ciência política) - Chile [Score: 90];1;5
Eletroestimulação;Eletroestimulador [Score: 88];1;5
Eletroforese em gel;Electroforese em gel [Score: 97];1;5
Solos - contaminação;Solo - contaminação [Score: 97];1;6
Servidores públicos - formação;Servidores públicos - corrupção [Score: 89];1;5
Espondiloartrite;Espondiloartrites [Score: 97];1;5
Relação médico-paciente;Relações médico-paciente [Score: 89];1;5
Sorgo;Soro [Score: 89];1;8
Diabetes - aspectos nutricionais;Doentes - aspectos nutricionais [Score: 92];1;5
Teoria da Contabilidade;Teoria da continuidade [Score: 89];1;7
Expoentes críticos;Expoente crítico [Score: 94];1;8
Circuitos eletrônicos;Circuitos elétricos [Score: 90];1;11
Cabras;Cabra [Score: 91];1;10
Éxciton;Éxcitons [Score: 93];1;12
Indústria;Indústrias [Score: 95];1;14
Cinética química;Cinética fotoquímica [Score: 89];1;10
Mortalidade materna;Morbimortalidade materna [Score: 88];1;10
Inflamassoma;Inflamassomas [Score: 96];1;10
Índice de Desenvolvimento da Educação Básica (Ideb);Índice de Desenvolvimento da Educação Básica (Ideb)Ideb [Score: 96];1;10
Satélites;Satélite [Score: 94];1;10
Variabilidade da freqüência cardíaca;Variabilidade da frequência cardíaca [Score: 97];1;11
Diáspora;Diásporas [Score: 94];1;11
Escoamento superficial;Deslocamento superficial [Score: 91];1;10
Smartphone;Smartphones [Score: 95];1;11
Energia elétrica - aspectos econômicos;Energia elétrica - Brasil - aspectos econômicos [Score: 89];1;12
Hemicelulose;Hemicelulases [Score: 88];1;11
Resíduos orgânicos;Resíduo orgânico [Score: 94];1;11
Análise não-linear;Análise não linear [Score: 94];1;11
Diretores escolares;Diretor escolar [Score: 88];1;10
Análise estocástica;Análise estática [Score: 91];1;12
Dinâmica territorial;Dinâmicas territoriais [Score: 90];1;10
Maternidade - aspectos psicológicos;Obesidade - aspectos psicológicos [Score: 88];1;14
Arroz - doenças e pragas;Nabo - doenças e pragas [Score: 89];1;10
Saúde - aspectos socioeconômicos;Pandemia - aspectos socioeconômicos [Score: 90];1;11
Turismo - aspectos econômicos;Turismo - aspectos econômicos - Pará [Score: 89];1;11
Ditiocarbazatos;Ditiocarbamatos [Score: 93];1;14
Saberes docentes;Saberes discentes [Score: 91];1;11
Mulheres do campo;Mulheres no campo [Score: 94];1;11
Nascimento;Renascimento [Score: 91];1;12
Atrofia muscular;Distrofia muscular [Score: 88];1;12
Partículas;Particulas [Score: 90];1;12
Segurança jurídica;Insegurança jurídica [Score: 95];1;11
Livros eletrônicos;Livro eletrônico [Score: 94];1;11
Teoria da relatividade geral;Teoria da relatividade restrita [Score: 88];1;11
Tribunais internacionais;Sinais internacionais [Score: 89];1;10
Política indigenista;Políticas indigenistas [Score: 95];1;10
Bibliografia;Biobibliografia [Score: 89];1;11
Educação inclusiva - Distrito Federal (Brasil);Educação básica - Distrito Federal (Brasil) [Score: 90];1;12
Triagem;Triage [Score: 92];1;10
Literatura latino-americana;Literatura  latino-americana [Score: 98];1;10
Desenvolvimento sustentável - Amazônia;Desenvolvimento sustentável - Amazônia (Brasil) [Score: 89];1;10
Paraná (Estado);Pará (Estado) [Score: 93];1;15
Administração de projetos;Administração de produto [Score: 90];1;12
Normas contábeis;nformações contábeis [Score: 89];1;10
Constituições;Instituições [Score: 88];1;16
Grupos abelianos;Grupos metabelianos [Score: 91];1;10
Cianotoxinas;Cianotoxicinas [Score: 92];1;9
Veículos aéreos não tripulados (VANTs);Veículos aéreos não tripulados [Score: 88];1;13
Podcast;Podcasts [Score: 93];1;11
Sagui;Saguis [Score: 91];1;9
Tradutores - competências;Tutuores - competências [Score: 92];1;9
Modelagem de Informação da Construção (BIM);Modelagem de informação da construção [Score: 92];1;10
Óxido de cério;Dióxido de cério [Score: 93];1;9
Direito - história;Egito - história [Score: 88];1;11
Incerteza;Incertezas [Score: 95];1;10
Design da informação;Design de informação [Score: 95];1;11
Arquitetura de habitação;Aquitetura de habitação [Score: 98];1;10
Literatura inglesa;Literatura congolesa [Score: 89];1;9
Treinamento de resistência;Letramentos de resistência [Score: 88];1;9
Solos urbanos - uso;Solo urbano - uso [Score: 94];1;11
Polícia civil do Distrito Federal (PCDF);Polícia civil  do Distrito Federal (PCDF) [Score: 99];1;9
Escolas - aspectos psicológicos;Escrita - aspectos psicológicos [Score: 90];1;9
Crime - aspectos sociológicos;Arte - aspectos sociológicos [Score: 91];1;16
Impacto social;Pacto social [Score: 92];1;9
Bioclimatologia;Climatologia [Score: 89];1;16
Transexuais;Transsexuais [Score: 96];1;16
Avaliação formativa;Avaliação somativa [Score: 92];1;9
Arbovírus;Arbovirus [Score: 89];1;10
Máquinas de vetores de suporte;Máquina de vetor de suporte [Score: 95];1;11
Experimentação;Experimento [Score: 88];1;11
Termografia;Terminografia [Score: 92];1;15
Ideologia política;Teologia política [Score: 91];1;10
Centro de Atenção Psicossocial (CAPS);Centros de atenção psicossocial [Score: 88];1;13
Organizações públicas;Organizações policiais [Score: 88];1;10
Trauma;Traumas [Score: 92];1;13
Enzimas - análise;Enzimas - catálise [Score: 91];1;10
Práticas culturais;Prática cultural [Score: 88];1;10
Borboletas;Borboleta [Score: 95];1;11
Transnacionalidade;Transicionalidade [Score: 91];1;12
Hospitais universitários;Hospital universitário [Score: 91];1;10
Soja - produtividade agrícola;Arroz - produtividade agrícola [Score: 88];1;10
Equações diferenciais não-lineares;Equações diferenciais lineares [Score: 94];1;13
Microtomografia;Micro-tomografia [Score: 97];1;10
Insuficiência respiratória;Insuficiência respiratória aguda [Score: 90];1;10
Composição química;Composição bioquímica [Score: 92];1;10
Nefrologia;Neurologia [Score: 90];1;14
Cobras;Cobra [Score: 91];1;15
Tecnologia biomédica;Tecnologia médica [Score: 92];1;12
Espécie nativa;Espécies nativas [Score: 93];1;11
Medicamentos - administração - idosos;Medicamentos - administração - erros [Score: 90];1;11
Validade;Vocalidade [Score: 89];1;12
Direito civil;Direitos civis [Score: 89];1;19
Índios - história;Índia - história [Score: 91];1;11
Análise linguística;Análise lingüística [Score: 95];1;15
Previsão;Revisão [Score: 93];1;18
Filosofia - história;Filosofia da História [Score: 93];1;12
Universidade aberta - Brasil;Universidade Aberta do Brasil [Score: 95];1;12
Contratos administrativos;Atos administrativos [Score: 89];1;11
Sustentabilidade fiscal;Sustentabilidade social [Score: 91];1;13
Compressive Sensing;Compressed sensing [Score: 92];1;11
Gestão de competências;Gestão por competências [Score: 89];1;20
Bactérias patogênicas;Bactérias fitopatogênicas [Score: 91];1;13
Unidades de Terapia Intensiva Neonatal;Unidade de terapia intensiva neonatal [Score: 99];1;13
Capacidade funcional;Incapacidade funcional [Score: 95];1;15
Teoremas do passo da montanha;Teorema do Passo da Montanha [Score: 98];1;12
Exportação - Brasil;Importação - Brasil [Score: 89];1;13
Representação;Reapresentação [Score: 96];1;11
Gamaespectrometria;Aerogamaespectrometria [Score: 90];1;12
Filosofia política;Filosofia e política [Score: 95];1;11
Proteases;Protease [Score: 94];1;13
Eficiência organizacional;Resiliência organizacional [Score: 90];1;11
Comunicação na educação;Computação na educação [Score: 89];1;11
Reconhecimento de face;Reconhecimento de fala [Score: 91];1;13
Secretaria de Educação do Distrito Federal (SEDF);Secretaria de Estado de Educação do Distrito Federal (SEDF) [Score: 91];1;14
Esgotos;Esgoto [Score: 92];1;12
Doenças;Doença [Score: 92];1;14
Serviços de saúde mental;Serviços de saúde materna [Score: 90];1;13
Fitoquímica;Fotoquímica [Score: 91];1;12
Sistemas dinâmicos;Sistema dinâmicos [Score: 97];1;12
Monitorização ambiental;Monitoração ambiental [Score: 95];1;12
Língua portuguesa - variação;Língua portuguesa - artigo [Score: 89];1;12
Fitofisionomia;Fitofisionomias [Score: 97];1;13
Brasil - história - Império, 1822-1889;Brasil. História - Império, 1822-1889 [Score: 96];1;12
Contabilidade bancária;Estabilidade bancária [Score: 88];1;13
Lei Geral de Proteção de Dados (LGPD);Lei Geral de Proteção de Dados [Score: 90];1;16
Transferência de calor;Transferência de carga [Score: 91];1;15
Demonstração financeira;Administração financeira [Score: 89];1;18
Sistemas de saúde;Sistema de saúde [Score: 97];1;12
Blogs;Blog [Score: 89];1;12
Recursos energéticos;Recursos genéticos [Score: 89];1;19
Processamento de dados;Processamento de vídeos [Score: 89];1;14
Produção cultural;Tradução cultural [Score: 88];1;12
Bibliotecas - desenvolvimento de coleção;Bibliotecas - desenvolvimento da coleção [Score: 98];1;13
Saúde mental - Brasil;Saúde ambiental - Brasil [Score: 93];1;13
Inovações tecnológicas - Brasil;Inovação tecnológica - Brasil [Score: 90];1;11
Frutas - qualidade;Fibras - qualidade [Score: 89];1;11
Cores;Cortes [Score: 91];1;11
Pagamento por serviços ambientais;Pagamento por Serviços Ambientais (PSA) [Score: 92];1;11
Aborto - aspectos morais e éticos;Trabalho - aspectos morais e éticos [Score: 88];1;14
Mobilidade social;Habilidade social [Score: 88];1;11
Arte moderna - século XX;Arte moderna - século XXI [Score: 98];1;12
Veículos elétricos;Veículo elétrico [Score: 94];1;13
Ambiente virtual;Ambientes virtuais [Score: 88];1;12
Sistema de controle;Sistemas de controle [Score: 97];1;13
Cultura - Brasil;Agricultura - Brasil [Score: 89];1;17
Mídia e política;Família e política [Score: 88];1;11
Sistema Eletrônico de Informações (SEI);Sistema Eletrônico de Informação (SEI) [Score: 94];1;11
Compressão;Opressão [Score: 89];1;14
Decomposição;Composição [Score: 91];1;13
Distribuição Weibull;Distribuição de Weibull [Score: 93];1;11
Música - crianças;Música e crianças [Score: 94];1;11
Aprendizagem colaborativa;Aprendizagem cooperativa [Score: 90];1;15
Democratização;Desdemocratização [Score: 90];1;11
Sistemas dinâmicos diferenciais;Fluxo (sistemas dinâmicos diferenciais) [Score: 89];1;12
Alimentos - composição;Cimento - composição [Score: 90];1;12
Sistemas de comunicação móvel;Sistemas de comunicação [Score: 88];1;19
Significação (Psicologia);Identificação (Psicologia) [Score: 90];1;17
Educadores - formação profissional;Tradutores - formação profissional [Score: 88];1;12
Raios X;Raio X [Score: 92];1;13
Educação - aspectos econômicos;Mercado - aspectos econômicos [Score: 88];1;12
Correlação (Estatística);Correlação estatística [Score: 96];1;11
Florestas - conservação;Frutas - conservação [Score: 88];1;15
Programa Nacional de Acesso ao Ensino Técnico e Emprego (Pronatec);Programa Nacional de Acesso ao Ensino Técnico e Emprego [Score: 91];1;12
Raio X - difração;Raios X - difração [Score: 97];1;11
Fontes de informação;Fonte de informação [Score: 97];1;11
Faixa Brasília;Faixa de Brasília [Score: 90];1;11
Enfermagem - saúde pública;Enfermagem em saúde pública [Score: 94];1;13
Economia da saúde;Economia em saúde [Score: 88];1;11
Infiltração;Filtração [Score: 90];1;11
Política monetária - Brasil;Política monetária (Brasil) [Score: 93];1;11
Ensaios;Ensaio [Score: 92];1;11
Radiação ionizante;Radiação não-ionizante [Score: 90];1;13
Feminismo negro;Feminismo - negros [Score: 91];1;13
Ciência - aspectos sociais;Infância - aspectos sociais [Score: 91];1;19
Inclusão social - Brasil;Exclusão social - Brasil [Score: 92];1;11
Fotogrametria;Biofotogrametria [Score: 90];1;11
Contaminação - alimentos;Contaminação de alimentos [Score: 94];1;11
Flebotomíneos;Flebotomíneo [Score: 96];1;11
RNAs não-codificadores;PRNAs não-codificadores [Score: 98];1;9
Distúrbios da aprendizagem;Distúrbios de aprendizagem [Score: 96];1;9
Fibroblasto;Fibroblastos [Score: 96];1;9
Biotecnologia farmacêutica;Tecnologia farmacêutica [Score: 94];1;11
Programa de saúde;Programas de saúde [Score: 97];1;10
Ciclovias;Ciclovia [Score: 94];1;8
Cacto;Cactos [Score: 91];1;8
Neopentecostalismo;Pentecostalismo [Score: 91];1;10
Sistemas multiagentes;Sistemas multiagente [Score: 98];1;8
Portos;Poros [Score: 91];1;8
Estratégias pedagógicas;Estratégia pedagógica [Score: 95];1;8
Informática forense;Inforrmática forense [Score: 97];1;8
Psicopedagogia;Psicopedagia [Score: 92];1;8
Biorremediação;Fitorremediação [Score: 90];1;9
Delinqüência juvenil;Delinquência juvenil [Score: 95];1;9
Agentes antibacterianos;Agente antibacteriano [Score: 95];1;8
Infraestrutura aeroportuária;Infraestrutura portuária [Score: 92];1;9
Fragmentação florestal;Fragmento florestal [Score: 93];1;8
Cafeína - efeito fisiológico;Fenol - efeito fisiológico [Score: 89];1;8
Dispositivos médicos;Dispositivo médico [Score: 95];1;9
Bisfenol-A;Bisfenol-S [Score: 90];1;8
Bisfosfonatos;Bifosfonatos [Score: 96];1;8
Coelho;Coelhos [Score: 92];1;8
Neurociências;Neurociência [Score: 96];1;11
Comportamento suicida;Comportamento judicial [Score: 88];1;8
Usabilidade - avaliação;Sustentabilidade - avaliação [Score: 90];1;13
Nuvem de pontos;Nuvens de Pontos [Score: 90];1;10
Doenças autoimunes;Doenças autoimune [Score: 97];1;8
Processo administrativo;Processos administrativos [Score: 96];1;9
Autoimunidade;Auto-imunidade [Score: 96];1;9
Estação Ecológica de Águas Emendadas (DF);Estação Ecológica Águas Emendadas [Score: 89];1;8
Sistemas de comunicação em banda larga;Sistemas de comunicação em banda larga - Brasil [Score: 89];1;9
Contaminação;Descontaminação [Score: 89];1;8
Otorrinolaringologia;Otorrinolaringologistas [Score: 93];1;8
Conhecimento tácito;Conhecimento tático [Score: 89];1;8
Audiometria;Radiometria [Score: 91];1;9
Imaginário urbano;Imaginários urbanos [Score: 94];1;11
Regulação da qualidade;Regulação de qualidade [Score: 95];1;8
Cosméticos;Cosmético [Score: 95];1;8
Comércio exterior - regulamentação;Comércio exterior - regulamentação - Brasil [Score: 88];1;8
Chagas, Doença de - tratamento;Chagas, Doenças de - tratamento [Score: 98];1;8
Lucro;Lucros [Score: 91];1;11
Arroz - cultivo;Taro - cultivo [Score: 90];1;9
Costa, Lúcio, 1902-1998 - crítica e interpretação;Cardoso, Lúcio, 1913-1968 - crítica e interpretação [Score: 88];1;9
Tecnologia em saúde - avaliação;Tecnologias em saúde - avaliação [Score: 98];1;8
Eletrocardiograma;Eletrocardiografia [Score: 91];1;12
Método de Monte Carlo;Método Monte Carlo [Score: 92];1;8
Carne - comércio;Carbono - comércio [Score: 88];1;12
Ecossistema de inovação;Ecossistemas de inovação [Score: 98];1;9
Vídeo;Vídeos [Score: 91];1;7
Mecânica de rochas;Mecânica das rochas [Score: 92];1;7
